gameDuration,gameId,gameResult,participant1,participant2,participant3,participant4,participant5,participant6,participant7,participant8,participant9,participant10
927342,3963584630,100,0LsOEgMLKpZE4GDIuD7DPFLYR0k908gnBRUOuwEMthiqx_fx9xVzC5thk1iKx7GrhLgQ1vNpmJfoOQ,aYHCLbuDOF2tSl6rerxFEl7WZFBXwSdONtycIaXTsKtKC_rNODdm_j2xMCcUOnJTroQoyx_0vJ_Tmw,5BnxLHz9LHvY0n3Cn648o2xFvHCVOUuhdGvQUez-AqGDifix8W79XykFLY8kc6eCkptDLkaZMVp-NQ,9NqCUvrX3419okaQoE37wrl8Bd20nzDWDzhDf4N6K2UFoFjjYjaNULyOH4quOaICLMKPqkdxTZ1wQw,UHi9kegUGzrNWJRYylHMod_pSq4vIaJf1dO9WTuB9pTSqGlrsKfBm6ZsR_kCl0NdqrbrhFUzecacFQ,oG16_3yvNPM-T1Km969aGSHg4bbMv-uyEzik2CTOdHr0XYt3QUzJktnNRrf553H9HCSPOUtOksXPsg,1JHE-cI0e9mmRcHAz-SqRVWOktS20oBXN_QNQB2538LbWiqkZFEntGOZkHTQHR_bd1oI6K0jFGhjCQ,GNUGu0TvIozOQOZOuZwwKYJVGG7C-9GeKcMYwaSDTCrZwuvJR-zaYxRgHH2hZQZAc9h-hU4DYnoPGg,yoQsRnagqeu4rMfJhz_HFLxUrkCT9l2mV5kk3imW3P6UeiDMqYFnkmjsCXl7QM09z_7lw01f7EJQEQ,4oc-XdCuqr3zRhfMc6SS6qEXOyAKO0LAaRbkVmwZiTL1YJABv81JINfXrGrlzqd3nUr3tWu_r-RZow
1861330,3962097788,100,iIp3m2X6K24oX1LMzQOOq4ePFvFnyO3lD8riUibysnwjm6cwRYR2O9tK_Q9P9FnawUkTlw3Nq5OJaQ,6dTAQ9JQBTQEuRz-6ONDOkIwTZN9QILe9vWvggatbNIbLxfLKQtL8uWPYTx69O-fd6eMWfj3sTVLaQ,ycsczx2VWFk2HMv-pkHprpxn3QZrYuuez7ZYu9MZW0edFXL15XZ9CqXJcqRdJknC57Lc2njjs5Zh_w,TQwJE3B-W7lvJSaeU6A-SxH8nJ7pZSlLomJTNSSoIt7vYaXJ48QOnKt828e0u9Bi5uAGODPs4ihiGw,upMzCJYnh_RNOYAqATzBf4dOiRgEV7Xii3IqrPnfE8-nziVCco6WNNV-8YQ9ULMww6swSu1kFCuwuw,nxkDkQ7B_cadl1KHrgp7-4W2W7RJrXI8PGR51PVh9A_x_Bg4yGPgydaD9u97Zl8gQcaLomXBsVkhVQ,njvkX5j7HJemJ8_Fx4e5_5lAQB4Z7Sb2QCME7iXLSMUy_MYggoJsmiFDysrM0UlSaxLzoSPr6KyCJg,KTY-gUFxw_O6MAfi8tjZjLKELzxE-EFjvhQprIObCjbaujwHkrM83bCAEyo44Z_Wb-MyySUMNwDNWQ,W9rJ73fQtFX63VaWlrGAh2QDEhCr7Bu_qjQi8TzFOogP5gyiEEzT1KoU0FRtWuRD9MNJr-AcF689Rg,-FFpaag3zqXmHFs1Q8rvsMNyNBUNakNbL5CjlzQnUZjSvwoI6oOPJheBbNen4nin4L5ViXDg1eZr5Q
1825936,3958966641,100,l2ddHoc7vNFom6TbKrEcspzvYb-19JQE24c69qAgEaeiIW59DP0Jy3uppsFpFTOcXMoNGxRzBWkRJQ,_GhoEUq30hsnHI63kUK5iqw7kRaJeUH_geHGyj8-bLBb_z_nVeHv9J4ycAl67vqqX1hih-Gj9Fhw4w,Y5g0UORer3iY6vCuqY8EMVmvGDCog9mo9K7DL4TTXC405XZbOlQ-gsQ7Fpi-Cf3aS_BTSyGkWm5ZTA,1ZK6yfiTx9oP0skC3YINaLUhlTvURHkEjM6DSer5MaLTfa9KJes0uzJ1IY59H0Fi0RlKaUWt47S1pg,YTrJREld_xMSed5NskuNxKYWXK9Dv04W0p3hnQ6VpR6Tl8mPztZFqGqw1v6kyRB78bzqvwPlh69uUQ,lRMvUewK7ttJG3qiOJvAAlTActdryL2pZm8EJR2HestAIYupkJezkGXiagBvwX8rMaJ8p_1y61aTZw,OPSzAmoVTD89IKYpndYsNJsNnNjyiDigcK0p3IibP_82ycIx15-nEVgXFzXSyQVwMv1EGVJiPrI0Gg,6I78oLbRQCLHCyY7aWmbMlU3miTsbTe_xMTDvBeDMTha0Ihfikfd6sLwPeCHEyAYmfbAvPoQea1h0g,mXIIjhTGvkDdQlsyYbPgOJZXtPX7gHEwi07D3gXWwccarDKBpj6awLaTadcDggCoHV8O21ibfoBNtQ,CNcO2PPMmq2GWc18_lUE5Fo3DnhgAfwaOP17miwHeu0ECyUOCOTzFSaZB9Gq1wk0I1DWG6fon99Ppw
1858378,3959106219,200,ocPfl76egiSEhpJLhwbA8epZ7jPO_CbeZZSsLyu1B0VbBbbP8lSMaH4SG4x1amnPsCv5Rm_Vs5nZAw,bu5rsf0WpRuDKAocC91m2a2dXWqqGEzde_i5QpmShRW7zdJQtd7cyMt3etW-ClXtSDPVTL9qQ7bv1w,cvVsISwJ-9hixc2di4RDAROq6sfkBQxwGVZqcZUjs7Q27OxjVnTkk3Jri4hOUsmydvGhwp-9NKscaQ,nGOIKD6MUe0Py5D50ADWd92acZH9t6s5oyUxePxaOD0tSvx2Taik424OK3okzELYiy1U1XSwV6GI0g,CNcO2PPMmq2GWc18_lUE5Fo3DnhgAfwaOP17miwHeu0ECyUOCOTzFSaZB9Gq1wk0I1DWG6fon99Ppw,l2ddHoc7vNFom6TbKrEcspzvYb-19JQE24c69qAgEaeiIW59DP0Jy3uppsFpFTOcXMoNGxRzBWkRJQ,3ANbKupRKXgvWab9ZpxZskKb8La6hb0UPZkBJPJNFMWhDXv3jrxYUU3-rrUINfit7zFc_9EI-U3U3g,3OYTqaVwCIACq5eI5_L-EbpH1BlXv-Qsu9bONtFeC7k-8mt5v9XidYOvmMp6CAfusnZyRv7KxTWRiw,I8WQJSHZ33vYRDuO8tyjGHIslEGmmbIUe-jPoYPl7duk78EZ2BywfnvW7ABYlfhAniXX_7Ln0FPcUw,nkgZ25Lwr_XubcZkou8A2lCZ8xqze-KV6Bt7pBsFMewWeHKBQYiSAAln6HRevtTDsNNusAvBPPEBKQ
2075332,3963508599,200,y9QFN7GkBfJC8PXQmX_GcbbRQCjK-Qfw_MauS2riHsPV2PqWRN88ZPbrYmjrRIQ2410hmd7P-y5tAw,b-2NrW_1XYCoqAk2SeAZYffRoTZwsENvxrX_2OPlv581-OnZlHjzAAeoZJ5E5eQFIRIWAyxuo6FvrA,68Yvl-Xia7jWKtyYDYn727rz7bRsGVFND_Y7Ng4wG_n4QNH5OdDJ356adDmh2p5lA25mNvk-gZpd8A,uknQY4pGMvTPxXRUVTthoGFdBgw64YyAq84dGT7fB5R5K6RCt6PrUNBrqgPQniw14wOSfTFr-WGrZg,7fbf3YY32V5Wa5vYJy1K-LGxQJhBo62W09UZQUqLROitWt73KbJaj4s-YiOeOpefQm3IAYDn1irm5g,ojEvNZDGwBOGovtSGrGiRgvxzfK4GW11xtB0-k0waz3J8UKfD7AOTD8zkfoZEFI2U39tZro5xcw4Sw,inn1rsb-GCqrxODPv-h-40wcm-nsTd3ZEymdMdzl_T9kaeG096_ZJcdjl7oOofdps6dygNPZPVPgRw,WuAkU3ax5SWPOInpiOEw25xXoOue7lHDGzDJFMYUkdWMqtyxbdmhHB9KRDVIpKMYKCohMqmucisPjg,Ca6HOWqr4shGtFHdfI8SyF8sLjexkEz9XS4dowaN3TH6-5OnOjT95ZFqoKMJN34zs3hMQKEYBCwqZw,H8tTASvlYv4i2aw3-cqWMb0oqGwvP-T7fJcPjHydCDxM2FWMEI5a3yQpxTUPsw8fDVac-bRZPsDM_w
1214623,3960859936,100,dbYuBuLfZ-Dip1AuiJiV6oZoLuqwKs6eREoaT7eqZdxgp1nLnATQ7uVnGhrDyC_SMRAjV0_MIGzjRA,Zda_wVwgIfBI3ZCOU943Al95Ls5HB5gLtjCgB0M445E_7HezYfOBR4LSkpsTQweHV7geh0DxGjug1g,43KeTlP5SSHtxrY_uStjn2C9mhQqQkS-3c5jGLiJz3ESbTLzO9sVSJ4PrIMTymPBb-7YlpGcHumdeQ,atULxUuYm4V6FCT2FhKe__YUB9B06CxGR55dGz-YuEg60yNQ9WlE9isEe62eb95G6O8y2Q6wyDyS1A,KRiB9ZpHqR2SGPycqEDnaqWuZLaPVrmhXXK6aYxCOa1oAJet_v49_1ZM8PbyNH2BGO3tOIO_KolwQw,3OYTqaVwCIACq5eI5_L-EbpH1BlXv-Qsu9bONtFeC7k-8mt5v9XidYOvmMp6CAfusnZyRv7KxTWRiw,Nt6BdhCAHor3WFouZ6SHGUQOo0RNw1N6cV4EqUjfaF7r9ViSbaFqKwBS8oxid8MDXFIOfwokknHs8A,Geh-CncbFlsswn43rC4E_9CWAPeD1x5wunY-b_pJXhpb9mi_n0xg0JiWRZ3zTJcb5mpi3x6-x_1qLg,w7ULmq3PgEdwTIWnFWZdspqu2gFy4emvlBkIR0Qm5o9hGCB8NNjQO3tjxAXh34cWeKH-ZDbh4KkCsg,rsdO6puAxhVnkL6SWbtG2HRaV9hRNYgW9JMYRgfrF0ZZo1FC4vD-E529gTYH01CQQwj9j6mxivZn2g
1143101,3964933909,100,h9M_rhLX2V8PzuTmACvSN7egELQyssRLXAB2zrKrZOHN-DxvYUV7_iD-4N-HS6jggodQqMCKZupqBw,LRG8bLUfTeiu7udLkcuDEneVA5y5Sp_nUhJQmr8tLBg91pMiM_nCrvOLDsAeibg4tWVIZtFuIa8-Fg,Xyrf5qTEB0kOhzFqEf3lEsO9pfLK1YOU8bmONcBhu6DcOWAKomJeRQ1CCfBooFzG8vpFZUrxvz26gQ,vwJai6aZpURKv6Hf7guUM4U5gJ3vlayEXQeQZjCNXUC1JHKYnGwoupFnGVPrKKQlMW8YvzmVRAXJtA,ns2KluFhKCTN06pY1x8iJFy5cQDKvW14rVD6j4FapP0iGMPo7tpdS5_gBQRpEexIOS64WaCpaeXeSg,2jD39j5RK360YxZUnPFQDGk4m2xsLFASWlJPco_AhqCfMEqUMNmh5Un3eO11Et7QGSjZyDcjK2WCXA,bJtbr1xC11UE7LQBtmRufjA-uPPMJ2o39tWfJrA-FxEsfxG_6GVV6UapDbUqDxaOQ2gg3x5H18ycUw,6Mayyr7uHayo85xqPLwsVzRyBDnOeVyaZyD8oxvEDDe6sN0KzhezpAYHELPfcxOBPlzh4tJhYgTIbg,CQAwWLorqGSggT_ne60RlnHtUNiFi3XM8y-hLFLpcH52B5SFQARMClXbFAE9onM6yNy4kAPXJU_iFw,YHK6-NgMLvchSB3BwC6H3CMMxrsVyX-Hxk2Q-qnWVnaDuc0GkO0xhRBHJaQkLqXFtVhdE7y8Nc_1tA
1398026,3962259430,100,Gr4dDuqQ79VUKMPiqzlv4AdR-ww1GthI0TnziDYFrXJa-wamAjQmGYaYTOxKU8Hcy43HuaU3uNVnFA,OfiehAmwt8utoRzryDSzJjUlUJTS4Sybs2m4KbDtspO_ks9KNWnfXgfQF37xSfq9Hj46pr0IxmNLew,m7gH8mKNuUqlDcCbtL_Gxqv9kMobckuXrrlOiIdqsDMR4KfQ4kyfi6eLi0uoSr9KXvCVEY69QjkSbA,oKdFDsKTy4avORLuNzDjJfdlQL9khCCX8quut335uBXXTG0hKCl8j0Vpy_vgvrnHdGt94qba5kNN8g,OXCxv3vFh4Oz-79oiyJ-tnSM5KJ2C4eHdtJlKXoWaU7TJYPmcDZCyF2Xtxw_iiRr7J1bBl36RZnipQ,A1Kcrxeaf8j4NKAFfPqTggUTu5pbsZ3xS0EBfkVZkouXDJtDvlNEqylTn1K7jh-VOgCgNDVyRU2qxQ,cAyAdVsYHGFlCi_cIBP4gCO00yTiFkkG5iUynGO9lLXYFC-FHdOGe_U2XLTUa5nyrGLXIowWc4_kfQ,ZRmiV54DY0izvJxO8LmIzgIoSMrwQCxfp8QJqkkyleM-l2ZNwsJ1WL6nXHN__m16-bwJM057_d7pIg,6ZKKPPpFgOjrU7J3tf51GsJbmJrmLFLIkqRC5pCwW1oMs9zwxYWbk12Oeq5NEyjXvPZGo94pWY7v6w,XsLYdFWUIhWvjG2HrJi2DQjvpQ-x_Ijp7r4b5asi4ZOcUwt44jiv_8tJ9-wJdEkEFeK4q0yh6OKCbw
1587982,3963741048,100,maSktdHZxs6Oqx85z-lion1OMmxOby_eELTuYUuuEWwQnCBTBqAcZhUvDcCMRHodYhkWgLkzb3l-AA,iwSfj9g3QwsXhR7_H7BpcgRy20lKEHOAhZXUeHLBwPrAiVSnuVZVnphlitZ-lRI_N33iqKSvll8FCQ,I6f-DjWo0wRXHdgiqVAwiJ_fiTLh6SgEMVFSWrRVYaKr5nqTEEZucmBllSfg0o0W62mJMOoOF2LdyQ,d2nX6FM92PfOvpiVDzuC7rYWA0fmtAhFN7P7a31qHe5rK98EMyFWEax_N1QXFsi0GUojSQlbfOOsuQ,7AjtBdakeUpTSjEG90qMVvNv4Vlgd2faSXJ0yp4Aw8b54GNkec55yTSjrNEIalZTU4Ir9Usb_sW5rg,rsYXC9khPK_6tcaudNGIMNMqwj1DyNy1UgJpbnuDJFQ-nejoLVWrDihZK6xuvCuN5yRykSqlCmHwOA,3fFo50RHihtmn0wJErGqB6xEChxCW6YTaGBxvqVRfjktuOpbpimrPwFrzoaxLPp0-xDXY0GmAUN8BA,OtC1cH7nEK0awJoHts38RJUjB-PwNAMzz9i7MVIMQh-fm0zhC9dUnwa4_4JfiViGBHt_jbTYZ9BumQ,gb9qC4qAij3fvT1x3zMKR54Ru8kLQtm_PHZZ4q92t5cMZDrihinvc5LtymNROkCeAbg7jiBrmJBPhg,N368a_gpAw9RtT0LAzxekmIy5r_iQ73PO7rdv4TCevLuv5jlQoZasrpP_O5pkqsN3MTYYMVmCMhu4g
1237446,3962546101,200,H6F9D9HR6-0L37WnW4atXDa__zzWFcvNzsQviqGrm1GREJ0fCvAcwKvyeNG8jwhD-gxKGILTWhHXxQ,WRi67xIuq6K1kg9i_tik73FLNtaXoy3hR14pAtXjmbBd9nJ2sCG2dBAVg1wQ_8BfsTRR2wpDjtU9DA,qXInLx0RdZBMNHtUJ4cmnyjpoQvUpn2SODaHca5oQdLPi-bpo956C5zRx87RXmy5tRaA7q1f9A7RFQ,jYFaaaljq1JWAM3o9bNMKnHHXlwP_984TNFlwaOXex4mUZKOXAGeCWtuyRvORlnI33FCKWG4Fabb-w,EZrn0ZDoyMAYDbHzHwGL5kiGmI_spfC4OdEAZoT_7AIr87xidvUF53sq0u89SZlq2O91H5abG7sMVw,2drfPGPqblNMrQcyAs51g11ifG7JqFhLICsBpc9f40i6BSsHFglV4qKi19_o3RtcWSp3fXnX2btB-w,lE3rffQHojB3srQWwNYAXbP_vs_ai4f7VhkTI1CNGZ9RC6oy2bp4w1FTe8zoCyBCOTvxUEvCE7Ha4g,Z7jm4Nlkoj1sMLSRGbmuQc7nh6wyE8rzNPb6TrK8W3rH8kZkiBkN7icuyBbk8KubBjTj-ydQOC14zQ,2kSXpbS9s1AdmLx85QEIFVFpCcQTMWPBLAz4ki5JXRCVR9WeRqNKqH1tJKy2gQWoMr-0E64u-FFOFg,psjsBOsUKTWIdaQjQK-G_9llQDdwtnfwhI82fwdtrNgpjIpgZNEN3aom6cM43s6WAbjgzV_QQYQ_jw
