gameDuration,gameId,gameResult,participant1,participant2,participant3,participant4,participant5,participant6,participant7,participant8,participant9,participant10
930073,3956313496,100,NHb4Ps_Nh3dPqkRfBMJKq6eaFXkgXAABq692nDWaofL1w_WJWgkPBD346NOt-YWCknh7lwwhdh5stw,vnu-Sin75xtD79jbommWRD_Awwir4beE_vW76C1VkTs9oIqkEFqHzyzGSr97E5NYZ7R2mSjXnImoKQ,ydjhmQzxm5nfHxkUVQ1bT2avDFM9Rpry_jKjw7ui4hiMrsXTCBoaymTPp2QWddvqspu3cJr8UbqyKA,clcUoQ21rclvrm_0XQRy8r6OM63Ac3WwrfGS3M6EM3Od2a2lfmM2qRRcvTvASUYgHDdOSnCuJXhmmg,XsLYdFWUIhWvjG2HrJi2DQjvpQ-x_Ijp7r4b5asi4ZOcUwt44jiv_8tJ9-wJdEkEFeK4q0yh6OKCbw,lTRYxj8IQ6tO8bKnJygqUniKl2LSmji6DQIB9Radr5x-QI_n8mkljgr2xxvll1zluT_TbS2Ot3bp1Q,oIPpiVt3Dm23mnJOimsDgAPN3EJNp59C90uFSip2vumBxNbVgBHjPVQTBqqaFvoWypXAPM57-o8q5g,T7CpGA8VhzJkxDy_0ZGL2TZvOstc_XkAt9E7fD1-moZ0gwl-prFXJgMq-yRuZRiKoKyQFV7VCjIJ3A,hNCzR4qV5KGhCp2dKWsj-znozeC7_r1fOe_EPReN3tFPURfhIr7sGPdKOx6oFMiZ7gh_WKFHrzt0uw,TMb8mcPnFY920smrzswf33HalMp0kSSH6vMRvUHfYBjwQoXw89iZ-nBis4U_yKEvR01FACoVSze1yQ
1779541,3957489390,100,AmZcxPZnXjLHE6fqRjP9yDBUYp7Vz4G4eFmGjRFy6YlHxD7qXyF-uon7_ykK63BcsQudsQOBb9e33A,iwSfj9g3QwsXhR7_H7BpcgRy20lKEHOAhZXUeHLBwPrAiVSnuVZVnphlitZ-lRI_N33iqKSvll8FCQ,ZFeOw25QqlMPcY-VHMu8xy8viA__0b51rjoezFTJcqMOJiTx27YVe5fezCtQsO3WRqvkToVfnSYVeQ,OFZZJqUcPHVeASGBNGX4BEWedpT1x6fPpDB_wm7w6nsdqiqhmIvQ7O2fxxTlQTMyndLQiw_k6ppzwg,qSn1odOQQpdT4tOK-Q6lusOVNT6AqCMmJ5Q7ui0lMMTLroBcen2rootENl8N464p3mVEPXB1v8Glgw,0xm5tmuo-GgzQl8ugYS6TmD5w5M4JAB_S6nxq5cQ4_KBJdDfV6rAERqBSg1yAzMso9fugsbrH5xfRg,mwkdanmgemP35lTrns2xAQGSVgTd51hfP_CVcOGWlnbdirbMuBzGlk4U-Vaxu0VBpvGxjX_vC-1FoA,HiL-lpZ97QL3A6iH5aSgqSE97QL0gYmX9Mvd3MohYSx5iJmKx4pOwC-C9HcaN3eficuuj27gZAnlVA,3w4oHhlh4jB9WGRWce8EQGMS-haiEOFkMghRqa7Rhyn3tyl_W13ApKiBF9L_CqVoCzgLhkMYKBOWgg,1rcpxGorvaVTFvi8eZwUU-wA1A1htNADtlyHSoH7HESnlDJj0yPsuYSmxCIgRrHs8RST8mLx4ntvwQ
1330153,3968711532,100,j9X4Nb6VO5FBpjyTGzoH1cO1M6-iYufWag0IfSasB_5ZGbixwo_J3pgfLksSZ88K9rep9BOIJNogtg,HRKkawUYQnxMl9mKsBWwZMUouNPJMemFE4xuUuKw6tLyQdeutb42diI9GstiP0cSxmDOmIfhtCUN5w,v28ncNmtZg61aTRDXCvANZIhq9q-DrI8NSmVU06mwJHa2IncF7uWI9ipu3QYRvbiiO-y-vgOBPY5Jg,vczbSZsdS071cVRL-NuWeEmwndlrjF3Xw4G30IPZcMih5l-3-BFWAWVPvcsrxTYy3LR62phtPZkQSg,u-2iWaLEfjW-K4ihkb8lt6DY2jYl_WcarHFBO7ewb8u7-F76IBmJn7RxfveEpMZH88M2eJ4IHQkN7w,eCbCDJlhNL7pluBgijEYQTLBX83vULr9sWs-UY3mrQSux723OzhKb8B7W1cnJqn2q5KG3CLCKpCtpg,qhc_9lfXMmeuRR6KDffwh7Ji8NZ0cvdpBXddoUkOOjTKTYmx4A3zO5qnHE0JZ0_Dp0ymoM3FMNvnKQ,WZIRhusMXYCENY8UaOWpBVaUuMcdQAKtl1W4QzAPJFLwbmscdDUWfMXnjk-BQ2nX6aqGkS_JVlWdfQ,6ZKKPPpFgOjrU7J3tf51GsJbmJrmLFLIkqRC5pCwW1oMs9zwxYWbk12Oeq5NEyjXvPZGo94pWY7v6w,N0riGrVJOy9rWZE_SMf36-2E0DI6ruTNHjBKlb9tFlipklcZyjuIIIzGekZkLwvg-VMfHFTPPibJyg
1105848,3968168710,100,4x4_cV3E_kF6t4QrQ7WdaRGsAYzQ9X_F6ocx1f5mtkjl5JOIr6SPL8CgGO0N-UoNPFMJFC8rjYlvYw,74gJr4VNpqWR9vY-ELa1R-kdoHtHLQ_NgNHkVqChufDPPxW8vAXhscpeahDhLzC4OGyrOftWMd1qGg,8yg6T4WklcIKytVJnTKY6wDoIOvyNBQafKX9Ts78JWbOufFC1zXT2JzOYy9cUkFnHqYmThbXTP8fsA,xQpG_TVht5OSp82by474wqUwIYlHilg9tdV5hufMQAzsbkp3uYc53fVHOX0zb7DvJzO6DpjTU2Z3oQ,NkAdMkrIfXpxXH9RcwC0YCAFUfIYd4soUMtLsESuEn69-DhQ4uZPuuHbq1sC4gW4EPPTsEpOVL6Tbw,k8GTAQE2a1-cWo25I1i8SqeuM77KgrXUw5VNVh78UBk2sqPWYbdz5YUw4tW5hNbCyqAlrW3HB_CBRg,AU6KVW4srH8IQrMVxKjHxsw_lVtN8QqPtVV_uyoEGFHZS6p0RxJen7fspruKUkXHX_iYIBAHjEH2dw,WgNbi5jaKVI4tQCH0vUg_27BXaspTTQ7NsCkwWewCN8bnLqu9QNoVdsQTrpLaEKI1kr-ayorDUbqQQ,vp_eKrMA8dplQvv3tJYwxR9hjYAi83DtBAs7ChJvZQP7OVQTJ8iCnCq_gVCrS368W5xU1w2n07GlvQ,6VUNUvIJbhRHCS7RG6NT9fzJ9hGkXJc52bYb-i1X8Y3039YUSLqLPS27byWmSQPZ7I9gqxLLJ4BApA
1922900,3962692894,200,H19M0a4HyDN1Q3Nn50CBjYrdRDPqzyzSIkyD8knc-OqVrK4YwlItK1adL1fGFP5YFHcL0UfJSKXKVA,J89Sm8C0zYmwWrKoTCD5_9H3ZrTD8VaW7tP4DBSqoiFbQ6vp3Sk5FyWiSWHk2_WZR0_f4PRANEy66Q,EjfdgDwNusYoC08SazHs9lyt0veEaL6_RbvUfttv5k18JxAIIU0L8C4N5kEPci0sr4kUtXF7K06taA,REuthZ_VZvpaoYGnHtHf8rEJKKxhVxUmvjilf1QjebGuu3VQwskflJ80n6IaElMJ2QzhoHLZJ-JULg,OcWN9czv7ceRa5NfVr3OoSSTMiBryrO7XFtjZ5ax7gVUWD5M3CYctDN0R8zQMGLmfwS0EB_EvsiDXw,s4JgE10OSNWiF-ZeTLZ0SMQZXryQrNLxW_rFTyJXaH1DkIZM2wKU41QrsR-1EZS8-vWOA2FMdtM3lg,V21B3PGrV3QSdHYW2eN8CHonpS_YBopVS3SWzsmRSPvPIN0FHL8o9NeMc8M1FIlJdEPik_cj8k9O3A,8s7AZkfOZ_WqCXMozYFmf6ZvL1d4L0M2UNbNWHkwprRnJKlsaoL0kZbiMfEt5hf9ee6rVll_B1nZUA,qIsyLic_CqrMS_-IXhHA2bj5lP2Pd8KXf3M3or0YVWZx-MlBO8GIrW_6T8eh6ONwfH0zjHIPK1GN_w,6aipRNdx88WoHaUor8Mupo3qblthliaepj83gw0WELw8e_YYiMQmHZcK1whm0Zj8bqFvPdf-Rq_1mg
1221869,3966774321,200,ADjPsoVTZ84TrhqwMCTFIfzmi7DyJpaz36Tw91ZrbUCtv9YE99UI11JX5FpSjcDaSmd1Lwxeo7AZ2w,BPkVmpxcHgbCKIvJUB3OG-zHGWKCs_b-3HCYJrDRwofD5ATO8TUsIBWE7_HFu5S_gjwTs3L9K86HOw,aSqCYzDlqzSTdVFakxVES-Q2V3piuQZH4yyyI3-JwtIqCPfMKArcGT8v4EC_2GchaDCK4s-Qpwgu7g,G2J6E6m_Es0gAG2mTivLOfbPlOUSJ84ivfbeNGn-Jnj7uyGSCO6cgJ7BVAOdjGvlX_vcvvLQjmFc4Q,5eh1YT34bdYf0zQLIDUsh_ZMVIj60oiSADWImf7s_uxwl-v2cOCB9mDfMIIyt5b-MtUytHCYZCeuFA,ublkiw7z5nPWjTTak5ZlpBmOl2vGXfYKChJy23PvyANhf9UR2nOjW-yvlozmwHQq_xhOLi3yjdTVlg,1GSFog005wo24mTwtcVRQcYn8SA9Y4BsMpTscdGWglvG7bdZ_a0HfHYZ30lGr1GQOxq9S2pF7wVCcw,Z_XL9Q_TLG4jMjKQYE2ip8KeP2xMfWGw3DVkjqZWst9z4N2SkE2fHzIcmX-OOdZYTLMaXa0dazwxZA,n4sfz8_ZEFka9-FASwGV_rjbNJxm_9j8KbeJU0e9UEjcP2liMezmDhQXMidRGAvzSVw1rZg6u_Cv5g,8MB5JbllAQ0NaxBYdH_Ae5kyBwyy4jFEBtibJMafrI6DHhGGaGvGJ-MBKgikbqHX-8pt2huqEfeEQw
1831260,3967491311,200,4emh6KESic3WuP3i60Lx1TBdcPak65nz_AAd6E_7DWFaQ8IyOS8Kq4YrK-QL1fceIqG1W8guN38c3g,Cb2uSpc3Su_TIyaODhUjguQjBYhULSacZzkrXpEQ-8NUzfMAtTcD-rNENGphbXgfa_9PsKZp1D_Nxg,B5ZUfllLODcl61fsVxPzZyd4p6QdLcHl6BuoHqjusx05D0j38Vd-Afrvu5W-f51nkEM8tgSywX1Qxg,FmYlSdVfgLoS8vb1SUjNOtbK-7DCb-dnlbRwdqxT3J4MHagyi3WZ3khBm2hB8QI4HMW0LovTfenMlw,rE_tTMm58FrnfWJlviDVuGZsI6XPDx7iTQ3s4Evu7gtLAjLT5iSuxD1IC3hGmQnQRBZSYfF9k85BtQ,Gr4dDuqQ79VUKMPiqzlv4AdR-ww1GthI0TnziDYFrXJa-wamAjQmGYaYTOxKU8Hcy43HuaU3uNVnFA,lGmEPYqptiruJepKrZe_HorADyo-Zv2XcRDghJGkoSYZpHO3cDgDaFVmGYQjoMQKi6kZUnlkSnhkEA,6Pt260hnbW3VXj8xcKcwqd9EsfrqSpivawTvGNn3dAA0g9JKiQHeuWOW60pwJFUuoioT38uqo9q-Uw,G2J6E6m_Es0gAG2mTivLOfbPlOUSJ84ivfbeNGn-Jnj7uyGSCO6cgJ7BVAOdjGvlX_vcvvLQjmFc4Q,3srdaNkSwevtOCaPm6BKk2PXWOpBv_hLZxmjPesWUmIozzQ1-kqvisT0LNS5d1eDLeqJcXTPzi7Wlg
1886844,3968873879,200,YCyjkYs4gu9T6rTdwThapljD0pKK3MgESg1KqJg-o2f4JM2td18tBgdLkEZDDTEK9XBDLp7kRMQbpw,sNqoj2LRCfoRk6dQJj46Tf3Km97oAPm_QS4wapLMJMPhsjIcEaMCvLHlwpl-aaEC0kpNOUioZ-rhpw,-Eznwi3AMJZCZ7vRQltNRiQQ__TN43p3Onnh2xxuOizESpgEaq8j9A6CtIstc9ty3_Pox4tUoFJHBg,nCQ6yVYxMnMWUEuWpvVsdqNeIzNAEXAaLJpfjMJx_FBSa4C2HZ7b5FBouEJ70O767wK995q6GdqI9w,-HMpg0n7EDVj43wQ423rN2vWM0lU75tWjRhraf2wuSJrubwSt_NToZPBpoQbYsngyXoBidWj1iNLPg,qzhp_6zRHt-iKgr3thftIfpSvih5edqMxcl-n1unMZffV4uv4uNuwRf4mvdR1d-qUw0WqM3aJmYXNA,DbejtQ7au6nJEjMGVlWdid0tkPZcK9h44RYty-zH3_DuaSRdU-YBUx4bEUi9MARmZKDLSxb8HnF_tw,4liwtDm772O3dbLC3d4-4C1ndOSqPJ46w4G6kji5EIVcnhlSGNGuI5OqiuxUiU-Ily5PqzmzpP3P5A,5lZVCQUBmkOL5Zcn0DDnWYxObQn7AxXDtprB0S31tEa05beQLStK_qhLKW_mw32WdZev1JXyxmE0Yw,E2KA3V17qBf3k9pveuamH_HejQQMQBtGK5Wi8Po7tsaavkAa4COLccqPr-7Wi3l67VAR27BIctKLUQ
1256855,3967542715,200,DkylxzgPUEo2qUwOcBs3DvDyibibdahUJlf36khg2UI-j4VvKgzrI6hxOtgGKqiCGo66fzI2k2OEBA,qScnsjtpXSc5vIeFCXRqK-1AZhUl7at2ijdX51ReGaNBFJ8nFC4F3288IWtXEckwvQsO1w8Hge2pEQ,O6UL0YVF-SbCSn-2U3pqGw4CyYZVk--lZIVjKYxJVe2miZTJokJ7YvsYmDeLrTF8AMv__LD442Rfxw,AAq2-4xQpEiasOt96fKzAJpkKgzA5CucKBloQewjet2OZM_sh790SRp8upW9mElCqBJV4t2RQWELXQ,XPHFjRANNqSCvtm42Ul9VaXPjkh_w3sVOnsawoqkkp5DJ1Eu5jYA0G4s-QgyaOjri9LRojehQ-rADw,68Yvl-Xia7jWKtyYDYn727rz7bRsGVFND_Y7Ng4wG_n4QNH5OdDJ356adDmh2p5lA25mNvk-gZpd8A,aPOlK5qedRO4-DPBankfl9K8xBGmSW9KYTcPle3q0q6aiA9HpeKrE4IuGuEq7B8rMT_GAKrClsT8Ww,PYAof_7_yXurKdCmjDJ4J91tKxEMYbQFvf2FvI0xHhfiE23glKIYMfdiq3_LqyRUvtIxvWFL5PeODA,xg7kI67YJLtu5GLIg6_XjkgndVltjBaAQoy9kTMb5gW2abt0ljo7s1afdo5PPUizuJAxerUGWOdSiQ,CCJDT5GwklEl-LmPl-11SiZ5rW30iGz4BL8h1YelqXTCKx6uKHcZmijIpSkMc6VDAOhnO6mbu55FJg
853131,3967146586,100,6dzneY29X1MhwEcl94BkLmATiCMMsYPJ_HZ3sIngAXMdujyEVOWlT6TqOypJcCV0F3arEVg2ILJeyA,9HFtDmdF7-hlMF0BhJoD8oQg4JABLhv1aD2Zl6aa_IQ-cD9SuDuViqh_QLggxOdsMeh5-Gh_9fpH3w,_YgxEXyZKNK1y_EKxehNPoKfSy3HotPFt1brAhK6MxRvt8TMG3GsuzYEZomUOWkM5xVLRSyEqEDgYw,v0dOxUINUkNzw20nXQCjTItnZODJnq6i6c3hwtxFb_ehvgi4-W_IfusUztCNVgCVQd_tSqo4x_Jsmw,Pfr0EwxYtKeNbCv0EG-4UON09T4_hHaKLksqGGAslQ8GVae1RFBNHw7LEQ6dspSh4138IOAYlMvXyQ,UbVzwrr_3idI4ofgyq1gGm0Ot7yZcVrLuaW6BV7qEIvhaUEvT06xA5yJY4nb6nm8WxDz7atekccvyg,W5jDoenXcyTIOy19UiM3snNXRYBz7oOnV8c9VkYEeQhwRS9vIoqfg3eVPpfSy8jOiOjU9llDtXy7eQ,AUH0EMWYr4F9tMq5JRVgv9LDxVCtCGwyd682ijLOzLfymRFnW6QD49GmEvARlANPMf74Q-QqZ2yIig,xlewdqd_u9FAKDLYsS1Qn_rK62hp18QBxzIWam6tTaEnzPYJRfJz3_IabBnR1yGKZv62aXWI1t42NQ,VhveSTk_JnUdsr7xA8w2BmTkB67p7blzfhweDQD9gVv0RpV1SBcp6KZBLisdIzZr9mwzmDnD4TAxfQ
