gameId,puuid,championId,championName,teamId,lane,kills,deaths,assists,physicalDamageDone,magicDamageDone,objectiveDamage,item0,item1,item2,item3,item4,item5,item6
3954262263,9AHhrCUaz_BUxQrWkiZtPtd_XIMPLnmt2dtWpmGm-F4x6RKVOuvXJNAIgyDXU76Mr1zTQ84HZw85cg,36,DrMundo,blue,TOP,3,4,1,4109,6176,2235,3047,3075,6662,1029,2420,2055,3363
3954262263,Sp7zi7DuYBl8iBtqauwCVJMPQVmS307Ra9V-uAEecHeaM8N05acMizuP3K_HT7YsEzToP40OfMtTcg,427,Ivern,blue,JUNGLE,1,1,13,1080,962,30762,2065,2031,3158,3011,3114,1028,3364
3954262263,XsCsH9R8rPX31pBPbUd8wvoeoIFPzTaXrTBLWd2N-JLfNgg-oig0PRsF8r1wQgf8qiu2tU038GUowg,142,Zoe,blue,MIDDLE,10,2,5,1827,16671,4211,6655,4628,3020,1082,1058,1056,3363
3954262263,aCKk0cm6XL5DUGZOrRjr1jZm4mZu_W7qFKLvl80kcf0tBLXGNsti9WCKNf8FY19OItvVIlG2qDBN6w,119,Draven,blue,BOTTOM,10,2,9,19934,613,30620,3035,1018,6673,3006,3031,6676,3363
3954262263,H12p1ccQcuRH3NUamLL8-vU95gHbnEbinv2mMO9wvROUNkq3mgCw2Ed-D7eEmafUyfwstkH-BqwmnQ,89,Leona,blue,BOTTOM,1,2,13,1278,2912,1246,2031,3860,2055,3117,3024,3190,3364
3954262263,5DHH80SnmvMmETudWrPgdPlMiklfyJAcD3FIeMJJn5XsBfrLwDnVXXYVe313Zz5o_ylY5SrsJRMKjQ,777,Yone,red,TOP,7,3,1,11516,2723,8709,3031,6673,1038,3006,1018,3123,3340
3954262263,lmd3EYWcRQYG8fswZ_Bf-qNYuJSJRBnW2s8uiG4kq_0TMsAdGQQa-Tp7W7wXk8w6eyD-80WCKzlCYA,102,Shyvana,red,JUNGLE,0,4,2,491,6344,4968,4636,3108,3020,3067,1052,2055,3364
3954262263,YSClONQyy7hbQNo6EoK0VJyxJWEK-cHjSbwbkpG689s4abN80_9jY29WqntD51w_3bFNbtmvnXipMw,234,Viego,red,MIDDLE,1,5,3,5906,736,6104,1054,1037,3153,3111,6670,3123,3340
3954262263,n6dBIYr46nw_PMfFVUugbyhjKIKC_kZyjYLR4x4s76XYecZK59-r71OMnBS2mv5cHP7g-oTCfoLBew,145,Kaisa,red,BOTTOM,0,6,5,2953,1277,7236,6672,2010,3006,3046,1037,0,3363
3954262263,2Hh-dAPtoy9RglghWje_86hiuowz6B3ORPZUw9E-XhEm5Dy97gvIvbjNmEuPuSKfwQeoKd2EibBsvA,111,Nautilus,red,BOTTOM,3,7,3,1219,3784,387,3860,2055,3190,3076,1028,3117,3364
3964683880,o5lkCQ_eHVUVDp0iFT-_WricAx94tSoc_xzKIfEBHVXfwcygPNFZa8KDT2n8D1T7raniUjtVMKuRFQ,17,Teemo,blue,TOP,2,6,0,2473,8342,299,3157,3115,3006,0,0,0,3340
3964683880,3nAinxYo5cbmZ5pKgWQQdJ9YNg4hm3dpNrE1bpCRvlRkR9rNpP0e01lgu_H9NzWdSOLV6XSJhcDbaQ,5,XinZhao,blue,JUNGLE,4,4,3,11464,951,18981,3044,1037,6630,3047,1028,1036,3364
3964683880,qXInLx0RdZBMNHtUJ4cmnyjpoQvUpn2SODaHca5oQdLPi-bpo956C5zRx87RXmy5tRaA7q1f9A7RFQ,7,Leblanc,blue,MIDDLE,2,3,3,1336,11120,1095,2033,1082,3157,3020,6655,0,3364
