championName,itemId,itemName,total
Aatrox,6630,Goredrinker,142
Aatrox,3340,"Stealth Ward",118
Aatrox,3047,"Plated Steelcaps",101
Aatrox,3053,"Sterak's Gage",80
Aatrox,1054,"Doran's Shield",58
Aatrox,1055,"Doran's Blade",49
Aatrox,3111,"Mercury's Treads",37
Aatrox,3044,Phage,31
Aatrox,3067,Kindlegem,29
Aatrox,3076,"Bramble Vest",29
Aatrox,1028,"Ruby Crystal",27
Aatrox,3364,"Oracle Lens",21
Aatrox,3363,"Farsight Alteration",21
Aatrox,2031,"Refillable Potion",19
Aatrox,3123,"Executioner's Calling",18
Aatrox,1036,"Long Sword",17
Aatrox,3071,"Black Cleaver",17
Aatrox,1037,Pickaxe,16
Aatrox,3133,"Caulfield's Warhammer",16
Aatrox,6333,"Death's Dance",14
Aatrox,3211,"Spectre's Cowl",13
Aatrox,3065,"Spirit Visage",12
Aatrox,3158,"Ionian Boots of Lucidity",12
Aatrox,2055,"Control Ward",10
Aatrox,1031,"Chain Vest",9
Aatrox,6029,"Ironspike Whip",9
Aatrox,1001,Boots,8
Aatrox,6609,"Chempunk Chainsword",8
Aatrox,1029,"Cloth Armor",7
Aatrox,1033,"Null-Magic Mantle",7
Aatrox,2421,"Broken Stopwatch",7
Aatrox,1011,"Giant's Belt",6
Aatrox,3082,"Warden's Mail",6
Aatrox,3075,Thornmail,5
Aatrox,6631,Stridebreaker,5
Aatrox,3181,Hullbreaker,4
Aatrox,3026,"Guardian Angel",3
Aatrox,3143,"Randuin's Omen",3
Aatrox,6695,"Serpent's Fang",3
Aatrox,1057,"Negatron Cloak",2
Aatrox,3001,"Abyssal Mask",2
Aatrox,2420,Stopwatch,2
Aatrox,1053,"Vampiric Scepter",1
Aatrox,3077,Tiamat,1
Aatrox,3142,"Youmuu's Ghostblade",1
Aatrox,4401,"Force of Nature",1
Aatrox,6694,"Serylda's Grudge",1
Aatrox,1038,"B. F. Sword",1
Aatrox,8001,"Anathema's Chains",1
Ahri,3020,"Sorcerer's Shoes",59
Ahri,1082,"Dark Seal",57
Ahri,6656,Everfrost,54
Ahri,3364,"Oracle Lens",41
Ahri,3363,"Farsight Alteration",36
Ahri,6655,"Luden's Tempest",36
Ahri,1056,"Doran's Ring",33
Ahri,3158,"Ionian Boots of Lucidity",30
Ahri,3157,"Zhonya's Hourglass",29
Ahri,4629,"Cosmic Drive",24
Ahri,2033,"Corrupting Potion",20
Ahri,1058,"Needlessly Large Rod",19
Ahri,3340,"Stealth Ward",19
Ahri,3108,"Fiendish Codex",18
Ahri,1052,"Amplifying Tome",16
Ahri,2055,"Control Ward",16
Ahri,3102,"Banshee's Veil",13
Ahri,3089,"Rabadon's Deathcap",12
Ahri,4628,"Horizon Focus",8
Ahri,3135,"Void Staff",8
Ahri,3916,"Oblivion Orb",7
Ahri,3041,"Mejai's Soulstealer",7
Ahri,2420,Stopwatch,6
Ahri,3165,Morellonomicon,6
Ahri,1026,"Blasting Wand",5
Ahri,3853,"Shard of True Ice",5
Ahri,2421,"Broken Stopwatch",5
Ahri,3067,Kindlegem,5
Ahri,3100,"Lich Bane",5
Ahri,3145,"Hextech Alternator",5
Ahri,3802,"Lost Chapter",4
Ahri,1001,Boots,3
Ahri,3111,"Mercury's Treads",3
Ahri,4632,"Verdant Barrier",3
Ahri,2031,"Refillable Potion",3
Ahri,3191,"Seeker's Armguard",2
Ahri,2003,"Health Potion",1
Ahri,3047,"Plated Steelcaps",1
Ahri,3057,Sheen,1
Ahri,6653,"Liandry's Anguish",1
Ahri,4630,"Blighting Jewel",1
Ahri,1028,"Ruby Crystal",1
Ahri,7014,"Eternal Winter",1
Ahri,8001,"Anathema's Chains",1
Akali,3020,"Sorcerer's Shoes",464
Akali,4633,Riftmaker,372
Akali,3157,"Zhonya's Hourglass",281
Akali,1082,"Dark Seal",269
Akali,3364,"Oracle Lens",227
Akali,3340,"Stealth Ward",218
Akali,1054,"Doran's Shield",135
Akali,3152,"Hextech Rocketbelt",130
Akali,3916,"Oblivion Orb",109
Akali,3363,"Farsight Alteration",108
Akali,2031,"Refillable Potion",94
Akali,1052,"Amplifying Tome",92
Akali,1026,"Blasting Wand",84
Akali,3135,"Void Staff",80
Akali,3165,Morellonomicon,74
Akali,1058,"Needlessly Large Rod",74
Akali,2055,"Control Ward",74
Akali,4637,"Demonic Embrace",67
Akali,3041,"Mejai's Soulstealer",63
Akali,3089,"Rabadon's Deathcap",58
Akali,1056,"Doran's Ring",54
Akali,3191,"Seeker's Armguard",51
Akali,2420,Stopwatch,43
Akali,3108,"Fiendish Codex",42
Akali,3111,"Mercury's Treads",35
Akali,1001,Boots,33
Akali,2421,"Broken Stopwatch",29
Akali,4630,"Blighting Jewel",29
Akali,3100,"Lich Bane",22
Akali,1028,"Ruby Crystal",19
Akali,1011,"Giant's Belt",18
Akali,4635,"Leeching Leer",15
Akali,1029,"Cloth Armor",13
Akali,3102,"Banshee's Veil",13
Akali,4636,"Night Harvester",13
Akali,3145,"Hextech Alternator",10
Akali,3047,"Plated Steelcaps",9
Akali,4632,"Verdant Barrier",5
Akali,1055,"Doran's Blade",4
Akali,3006,"Berserker's Greaves",2
Akali,3076,"Bramble Vest",2
Akali,3113,"Aether Wisp",2
Akali,3115,"Nashor's Tooth",2
Akali,3057,Sheen,2
Akali,1033,"Null-Magic Mantle",2
Akali,1042,Dagger,2
Akali,7009,"Icathia's Curse",2
Akali,3850,"Spellthief's Edge",1
Akali,3851,Frostfang,1
Akali,3053,"Sterak's Gage",1
Akali,3158,"Ionian Boots of Lucidity",1
Akali,3009,"Boots of Swiftness",1
Akali,2139,"Elixir of Sorcery",1
Akali,2003,"Health Potion",1
Akali,3070,"Tear of the Goddess",1
Akali,3067,Kindlegem,1
Akali,6035,"Silvermere Dawn",1
Akali,6692,Eclipse,1
Akali,3748,"Titanic Hydra",1
Akali,7011,"Upgraded Aeropack",1
Alistar,3364,"Oracle Lens",215
Alistar,3860,"Bulwark of the Mountain",157
Alistar,3117,"Mobility Boots",140
Alistar,2055,"Control Ward",130
Alistar,2065,"Shurelya's Battlesong",78
Alistar,3190,"Locket of the Iron Solari",78
Alistar,3067,Kindlegem,49
Alistar,3859,"Targon's Buckler",49
Alistar,3158,"Ionian Boots of Lucidity",40
Alistar,3076,"Bramble Vest",32
Alistar,3157,"Zhonya's Hourglass",28
Alistar,1029,"Cloth Armor",28
Alistar,6664,"Turbo Chemtank",24
Alistar,2421,"Broken Stopwatch",22
Alistar,1028,"Ruby Crystal",22
Alistar,1011,"Giant's Belt",22
Alistar,3009,"Boots of Swiftness",15
Alistar,2031,"Refillable Potion",14
Alistar,3047,"Plated Steelcaps",14
Alistar,3108,"Fiendish Codex",12
Alistar,3050,"Zeke's Convergence",12
Alistar,1033,"Null-Magic Mantle",11
Alistar,1057,"Negatron Cloak",10
Alistar,3109,"Knight's Vow",10
Alistar,8001,"Anathema's Chains",9
Alistar,3075,Thornmail,9
Alistar,3024,"Glacial Buckler",7
Alistar,2420,Stopwatch,6
Alistar,3858,"Relic Shield",6
Alistar,3066,"Winged Moonplate",5
Alistar,3191,"Seeker's Armguard",5
Alistar,3742,"Dead Man's Plate",5
Alistar,4642,"Bandleglass Mirror",5
Alistar,1052,"Amplifying Tome",4
Alistar,3001,"Abyssal Mask",4
Alistar,3801,"Crystalline Bracer",4
Alistar,2003,"Health Potion",4
Alistar,3105,"Aegis of the Legion",3
Alistar,3111,"Mercury's Treads",3
Alistar,4643,"Vigilant Wardstone",3
Alistar,6660,"Bami's Cinder",3
Alistar,1004,"Faerie Charm",2
Alistar,3110,"Frozen Heart",2
Alistar,3143,"Randuin's Omen",2
Alistar,3855,"Runesteel Spaulders",2
Alistar,3857,"Pauldrons of Whiterock",2
Alistar,4638,"Watchful Wardstone",2
Alistar,1031,"Chain Vest",2
Alistar,1001,Boots,1
Alistar,3082,"Warden's Mail",1
Alistar,2403,"Minion Dematerializer",1
Alistar,3114,"Forbidden Idol",1
Alistar,2424,"Broken Stopwatch",1
Alistar,3400,"Your Cut",1
Alistar,4401,"Force of Nature",1
Alistar,3340,"Stealth Ward",1
Amumu,3364,"Oracle Lens",7
Amumu,3020,"Sorcerer's Shoes",7
Amumu,3152,"Hextech Rocketbelt",6
Amumu,2031,"Refillable Potion",4
Amumu,1028,"Ruby Crystal",3
Amumu,3047,"Plated Steelcaps",3
Amumu,1082,"Dark Seal",3
Amumu,4628,"Horizon Focus",3
Amumu,1026,"Blasting Wand",2
Amumu,1058,"Needlessly Large Rod",2
Amumu,2055,"Control Ward",2
Amumu,3340,"Stealth Ward",2
Amumu,3363,"Farsight Alteration",2
Amumu,3001,"Abyssal Mask",1
Amumu,1029,"Cloth Armor",1
Amumu,3068,"Sunfire Aegis",1
Amumu,3076,"Bramble Vest",1
Amumu,3100,"Lich Bane",1
Amumu,3135,"Void Staff",1
Amumu,3145,"Hextech Alternator",1
Amumu,3157,"Zhonya's Hourglass",1
Amumu,3158,"Ionian Boots of Lucidity",1
Amumu,1011,"Giant's Belt",1
Amumu,1057,"Negatron Cloak",1
Amumu,1054,"Doran's Shield",1
Amumu,3859,"Targon's Buckler",1
Amumu,3860,"Bulwark of the Mountain",1
Amumu,3916,"Oblivion Orb",1
Amumu,4005,"Imperial Mandate",1
Amumu,2420,Stopwatch,1
Amumu,4630,"Blighting Jewel",1
Amumu,4636,"Night Harvester",1
Amumu,6664,"Turbo Chemtank",1
Anivia,3020,"Sorcerer's Shoes",35
Anivia,3363,"Farsight Alteration",22
Anivia,3040,"Seraph's Embrace",19
Anivia,6656,Everfrost,17
Anivia,3157,"Zhonya's Hourglass",16
Anivia,6653,"Liandry's Anguish",16
Anivia,3070,"Tear of the Goddess",15
Anivia,1056,"Doran's Ring",14
Anivia,3340,"Stealth Ward",12
Anivia,1082,"Dark Seal",12
Anivia,3364,"Oracle Lens",11
Anivia,1058,"Needlessly Large Rod",8
Anivia,4630,"Blighting Jewel",8
Anivia,1026,"Blasting Wand",6
Anivia,1052,"Amplifying Tome",6
Anivia,3916,"Oblivion Orb",6
Anivia,6655,"Luden's Tempest",6
Anivia,1027,"Sapphire Crystal",5
Anivia,3108,"Fiendish Codex",5
Anivia,3165,Morellonomicon,5
Anivia,2420,Stopwatch,4
Anivia,2055,"Control Ward",4
Anivia,3102,"Banshee's Veil",4
Anivia,3158,"Ionian Boots of Lucidity",4
Anivia,3853,"Shard of True Ice",3
Anivia,4628,"Horizon Focus",3
Anivia,4637,"Demonic Embrace",2
Anivia,3089,"Rabadon's Deathcap",2
Anivia,3111,"Mercury's Treads",2
Anivia,3135,"Void Staff",2
Anivia,3191,"Seeker's Armguard",2
Anivia,2421,"Broken Stopwatch",1
Anivia,3009,"Boots of Swiftness",1
Anivia,1028,"Ruby Crystal",1
Anivia,3041,"Mejai's Soulstealer",1
Anivia,3117,"Mobility Boots",1
Anivia,3067,Kindlegem,1
Anivia,1011,"Giant's Belt",1
Anivia,3802,"Lost Chapter",1
Anivia,4629,"Cosmic Drive",1
Anivia,4632,"Verdant Barrier",1
Anivia,4633,Riftmaker,1
Anivia,4005,"Imperial Mandate",1
Anivia,2065,"Shurelya's Battlesong",1
Annie,3020,"Sorcerer's Shoes",56
Annie,3152,"Hextech Rocketbelt",37
Annie,1082,"Dark Seal",32
Annie,1056,"Doran's Ring",30
Annie,3364,"Oracle Lens",30
Annie,3340,"Stealth Ward",20
Annie,3157,"Zhonya's Hourglass",20
Annie,3041,"Mejai's Soulstealer",18
Annie,3363,"Farsight Alteration",13
Annie,6653,"Liandry's Anguish",13
Annie,1058,"Needlessly Large Rod",12
Annie,4629,"Cosmic Drive",11
Annie,1052,"Amplifying Tome",10
Annie,3135,"Void Staff",9
Annie,1026,"Blasting Wand",9
Annie,3916,"Oblivion Orb",8
Annie,6655,"Luden's Tempest",8
Annie,3040,"Seraph's Embrace",7
Annie,1036,"Long Sword",6
Annie,2031,"Refillable Potion",6
Annie,4630,"Blighting Jewel",6
Annie,3070,"Tear of the Goddess",6
Annie,3108,"Fiendish Codex",5
Annie,3158,"Ionian Boots of Lucidity",5
Annie,3089,"Rabadon's Deathcap",4
Annie,3165,Morellonomicon,4
Annie,3102,"Banshee's Veil",3
Annie,3853,"Shard of True Ice",3
Annie,4637,"Demonic Embrace",3
Annie,2055,"Control Ward",3
Annie,3067,Kindlegem,2
Annie,3191,"Seeker's Armguard",2
Annie,3145,"Hextech Alternator",2
Annie,2033,"Corrupting Potion",1
Annie,2421,"Broken Stopwatch",1
Annie,2424,"Broken Stopwatch",1
Annie,3116,"Rylai's Crystal Scepter",1
Annie,3802,"Lost Chapter",1
Annie,3851,Frostfang,1
Annie,4628,"Horizon Focus",1
Annie,4632,"Verdant Barrier",1
Annie,1028,"Ruby Crystal",1
Annie,2003,"Health Potion",1
Annie,2010,"Total Biscuit of Everlasting Will",1
Aphelios,3006,"Berserker's Greaves",296
Aphelios,3363,"Farsight Alteration",268
Aphelios,6672,"Kraken Slayer",166
Aphelios,3085,"Runaan's Hurricane",165
Aphelios,1055,"Doran's Blade",163
Aphelios,3031,"Infinity Edge",84
Aphelios,1038,"B. F. Sword",72
Aphelios,6673,"Immortal Shieldbow",71
Aphelios,1018,"Cloak of Agility",63
Aphelios,6671,Galeforce,55
Aphelios,1037,Pickaxe,54
Aphelios,3046,"Phantom Dancer",53
Aphelios,3036,"Lord Dominik's Regards",52
