championName,itemId,itemName,winCount,totalCount,winRatio
Aatrox,6691,"Duskblade of Draktharr",1,1,1.0000
Aatrox,3156,"Maw of Malmortius",2,2,1.0000
Aatrox,3508,"Essence Reaver",1,1,1.0000
Aatrox,7002,"Draktharr's Shadowcarver",1,1,1.0000
Aatrox,3006,"Berserker's Greaves",1,1,1.0000
Aatrox,3193,"Gargoyle Stoneplate",1,1,1.0000
Aatrox,3854,"Steel Shoulderguards",1,1,1.0000
Aatrox,3142,"Youmuu's Ghostblade",2,2,1.0000
Aatrox,3134,"Serrated Dirk",6,8,0.7500
Aatrox,3035,"Last Whisper",5,7,0.7143
Aatrox,2421,"Broken Stopwatch",11,16,0.6875
Aatrox,8001,"Anathema's Chains",4,6,0.6667
Aatrox,3065,"Spirit Visage",36,56,0.6429
Aatrox,2420,Stopwatch,8,13,0.6154
Aatrox,1031,"Chain Vest",32,52,0.6154
Aatrox,3211,"Spectre's Cowl",23,38,0.6053
Aatrox,6632,"Divine Sunderer",3,5,0.6000
Aatrox,3071,"Black Cleaver",52,89,0.5843
Aatrox,6694,"Serylda's Grudge",18,31,0.5806
Aatrox,3133,"Caulfield's Warhammer",45,78,0.5769
Aatrox,3181,Hullbreaker,8,14,0.5714
Aatrox,6695,"Serpent's Fang",9,16,0.5625
Aatrox,6333,"Death's Dance",43,77,0.5584
Aatrox,3111,"Mercury's Treads",99,180,0.5500
Aatrox,6631,Stridebreaker,34,62,0.5484
Aatrox,3075,Thornmail,13,24,0.5417
Aatrox,3053,"Sterak's Gage",189,349,0.5415
Aatrox,6609,"Chempunk Chainsword",22,41,0.5366
Aatrox,3158,"Ionian Boots of Lucidity",27,52,0.5192
Aatrox,1033,"Null-Magic Mantle",15,30,0.5000
Aatrox,3026,"Guardian Angel",5,10,0.5000
Aatrox,1038,"B. F. Sword",4,8,0.5000
Aatrox,3105,"Aegis of the Legion",1,2,0.5000
Aatrox,3074,"Ravenous Hydra",2,4,0.5000
Aatrox,3051,"Hearthbound Axe",1,2,0.5000
Aatrox,3067,Kindlegem,47,95,0.4947
Aatrox,6630,Goredrinker,316,642,0.4922
Aatrox,3001,"Abyssal Mask",13,27,0.4815
Aatrox,3047,"Plated Steelcaps",220,467,0.4711
Aatrox,1011,"Giant's Belt",8,17,0.4706
Aatrox,3082,"Warden's Mail",7,15,0.4667
Aatrox,3123,"Executioner's Calling",39,85,0.4588
Aatrox,1037,Pickaxe,38,90,0.4222
Aatrox,1028,"Ruby Crystal",56,142,0.3944
Aatrox,3076,"Bramble Vest",39,100,0.3900
Aatrox,3044,Phage,58,149,0.3893
Aatrox,1036,"Long Sword",35,95,0.3684
Aatrox,1029,"Cloth Armor",16,47,0.3404
Aatrox,1053,"Vampiric Scepter",1,3,0.3333
Aatrox,1001,Boots,16,53,0.3019
Aatrox,6029,"Ironspike Whip",8,27,0.2963
Aatrox,3143,"Randuin's Omen",4,14,0.2857
Aatrox,1057,"Negatron Cloak",4,14,0.2857
Ahri,3140,"Quicksilver Sash",1,1,1.0000
Ahri,3011,"Chemtech Putrifier",1,1,1.0000
Ahri,3117,"Mobility Boots",1,1,1.0000
Ahri,3116,"Rylai's Crystal Scepter",1,1,1.0000
Ahri,3057,Sheen,1,1,1.0000
Ahri,7013,"Eye of Luden",1,1,1.0000
Ahri,3070,"Tear of the Goddess",2,2,1.0000
Ahri,3114,"Forbidden Idol",1,1,1.0000
Ahri,8001,"Anathema's Chains",5,6,0.8333
Ahri,1057,"Negatron Cloak",6,8,0.7500
Ahri,3041,"Mejai's Soulstealer",28,38,0.7368
Ahri,3001,"Abyssal Mask",11,15,0.7333
Ahri,3100,"Lich Bane",9,13,0.6923
Ahri,3102,"Banshee's Veil",24,35,0.6857
Ahri,3067,Kindlegem,18,28,0.6429
Ahri,4628,"Horizon Focus",20,32,0.6250
Ahri,3165,Morellonomicon,19,31,0.6129
Ahri,4637,"Demonic Embrace",3,5,0.6000
Ahri,3157,"Zhonya's Hourglass",71,122,0.5820
Ahri,3853,"Shard of True Ice",32,55,0.5818
Ahri,4629,"Cosmic Drive",68,117,0.5812
Ahri,3089,"Rabadon's Deathcap",29,50,0.5800
Ahri,3020,"Sorcerer's Shoes",104,187,0.5561
Ahri,3916,"Oblivion Orb",28,51,0.5490
Ahri,6653,"Liandry's Anguish",17,31,0.5484
Ahri,3135,"Void Staff",17,31,0.5484
Ahri,6656,Everfrost,149,272,0.5478
Ahri,4630,"Blighting Jewel",8,15,0.5333
Ahri,3158,"Ionian Boots of Lucidity",121,228,0.5307
Ahri,6655,"Luden's Tempest",57,109,0.5229
Ahri,1058,"Needlessly Large Rod",36,69,0.5217
Ahri,1082,"Dark Seal",102,199,0.5126
Ahri,3860,"Bulwark of the Mountain",6,12,0.5000
Ahri,1052,"Amplifying Tome",36,73,0.4932
Ahri,3108,"Fiendish Codex",32,66,0.4848
Ahri,1011,"Giant's Belt",4,9,0.4444
Ahri,1029,"Cloth Armor",3,7,0.4286
Ahri,4632,"Verdant Barrier",3,7,0.4286
Ahri,2420,Stopwatch,5,12,0.4167
Ahri,1026,"Blasting Wand",11,28,0.3929
Ahri,2421,"Broken Stopwatch",8,22,0.3636
Ahri,3802,"Lost Chapter",6,18,0.3333
Ahri,1028,"Ruby Crystal",4,12,0.3333
Ahri,3191,"Seeker's Armguard",4,12,0.3333
Ahri,2423,"Perfectly Timed Stopwatch",1,3,0.3333
Ahri,1033,"Null-Magic Mantle",1,3,0.3333
Ahri,4643,"Vigilant Wardstone",1,3,0.3333
Ahri,3145,"Hextech Alternator",3,10,0.3000
Ahri,1001,Boots,2,9,0.2222
Ahri,2424,"Broken Stopwatch",1,5,0.2000
Ahri,3111,"Mercury's Treads",1,6,0.1667
Akali,6692,Eclipse,1,1,1.0000
Akali,3074,"Ravenous Hydra",1,1,1.0000
Akali,7011,"Upgraded Aeropack",2,2,1.0000
Akali,3115,"Nashor's Tooth",2,2,1.0000
Akali,3077,Tiamat,2,2,1.0000
Akali,8001,"Anathema's Chains",2,2,1.0000
Akali,1036,"Long Sword",1,1,1.0000
Akali,3053,"Sterak's Gage",1,1,1.0000
Akali,3041,"Mejai's Soulstealer",168,203,0.8276
Akali,1033,"Null-Magic Mantle",4,5,0.8000
Akali,3067,Kindlegem,2,3,0.6667
Akali,3100,"Lich Bane",64,98,0.6531
Akali,3089,"Rabadon's Deathcap",121,205,0.5902
Akali,1058,"Needlessly Large Rod",164,286,0.5734
Akali,6632,"Divine Sunderer",4,7,0.5714
Akali,4637,"Demonic Embrace",115,205,0.5610
Akali,1011,"Giant's Belt",33,61,0.5410
Akali,3047,"Plated Steelcaps",21,39,0.5385
Akali,3135,"Void Staff",145,272,0.5331
Akali,4636,"Night Harvester",24,46,0.5217
Akali,2420,Stopwatch,59,116,0.5086
Akali,3165,Morellonomicon,144,287,0.5017
Akali,3158,"Ionian Boots of Lucidity",1,2,0.5000
Akali,3057,Sheen,10,20,0.5000
Akali,3006,"Berserker's Greaves",1,2,0.5000
Akali,3157,"Zhonya's Hourglass",511,1024,0.4990
Akali,3102,"Banshee's Veil",24,49,0.4898
Akali,2421,"Broken Stopwatch",54,113,0.4779
Akali,4633,Riftmaker,598,1253,0.4773
Akali,3020,"Sorcerer's Shoes",775,1626,0.4766
Akali,3111,"Mercury's Treads",69,149,0.4631
Akali,3152,"Hextech Rocketbelt",241,526,0.4582
Akali,3916,"Oblivion Orb",150,336,0.4464
Akali,1082,"Dark Seal",395,968,0.4081
Akali,1026,"Blasting Wand",131,328,0.3994
Akali,3113,"Aether Wisp",14,36,0.3889
Akali,1052,"Amplifying Tome",133,348,0.3822
Akali,3108,"Fiendish Codex",47,129,0.3643
Akali,4630,"Blighting Jewel",40,114,0.3509
Akali,3191,"Seeker's Armguard",54,159,0.3396
Akali,3076,"Bramble Vest",2,6,0.3333
Akali,1028,"Ruby Crystal",24,72,0.3333
Akali,7009,"Icathia's Curse",1,3,0.3333
Akali,1029,"Cloth Armor",14,44,0.3182
Akali,4632,"Verdant Barrier",8,27,0.2963
Akali,3140,"Quicksilver Sash",1,4,0.2500
Akali,3145,"Hextech Alternator",7,31,0.2258
Akali,4635,"Leeching Leer",13,62,0.2097
Akali,3070,"Tear of the Goddess",1,5,0.2000
Akali,1001,Boots,20,117,0.1709
