matchUp,winRate,totalMatches,boots,faerieCharm,rejuvenationBead,giantsBelt,cloakOfAgility,blastingWand,sapphireCrystal,rubyCrystal,clothArmor,chainVest,nullMagicMantle,emberKnife,longSword,pickAxe,bfSword,hailBlade,dagger,recurveBow,amplifyingTome,vampiricScepter,doransShield,doransBlade,doransRing,negatronCloak,needlesslyLargeRod,darkSeal,cull,healthPotion,totalBiscuit,kircheisShard,refillablePot,corruptingPot,guardiansHorn,poroSnax,controlWard,shurelyasBattlesong,elixirIron,elixirSorcery,elixirWrath,minioDematerializer,commencingStopwatch,stopwatch,brokenStopwatch,magicalFootwear,timedStopwatch,abyssalMask,archangelsStaff,manamune,bersekersGreaves,bootsSwiftness,chemtechPutrifier,sorcerersShoes,glacialBuckler,guardianAngel,infinityEdge,mortalReminder,lastWhisper,dominiksRegards,seraphsEmbrace,mejaisSoulstealers,muramana,phage,phantomDancer,platedSteelcaps,zekesConvergence,hearthboundAxe,steraksGage,sheen,spiritVisage,wingedMoonplate,kindlegem,sunfireAegis,tearGoddess,blackCleaver,bloodthirster,ravenousHydra,thornmail,brambleVest,tiamat,trinityForce,wardensMail,warmogsArmor,runaanHurricane,zeal,rabadonDeathcap,witsEnd,rapidFirecannon,stormrazor,lichBane,bansheesVeil,aegisLegion,redemption,fiendishCodex,knightsVow,frozenHeart,mercuryTreads,guardiansOrb,aetherWisp,forbiddenIdol,nashorsTooth,rylaiScepter,mobilityBoots,executionersCalling,guinsoosRageblade,caulfieldWarhammer,serratedDirk,voidStaff,mercurialScimitar,quicksilverSash,youmuuGhostblade,randuinOmen,hextechAlternator,hextechRocketbelt,bladeRuinedKing,hexDrinker,mawOfMalmortius,zhonyaHourglass,ionianBoots,morellonomicon,guardiansBlade,umbralGlaive,hullbreaker,guardiansHammer,locketSolari,seekersArmguard,gargoyleStoneplate,spectresCowl,mikaelsBlessing,scarecrowEffigy,stealthWard,farsightAlternation,oracleLens,yourCut,ardentCenser,essenceReaver,eyeHerald,kalistaSpear,deadMansPlate,titanicHydra,crystallineBracer,lostChapter,edgeNight,spellthiefsEdge,frostFang,shardTrueIce,steelShoulderguards,runesteelSpaulders,pauldronsWhiterock,relicShield,targonBuckler,bulwarkMountain,spectralSickle,harrowingCrescent,blackMistScythe,oblivionOrb,imperialMandate,forceNature,goldenSpatula,horizonFocus,cosmicDrive,blightingJewel,verdantJewel,riftmaker,leechingLeer,nightHarvester,demonicEmbrace,watchfulWardstone,bandleglassMirror,vigilantWardstone,ironspikeWhip,silvermereDawn,deathsDance,chempunkChainsword,staffFlowingWater,moonstoneRenwer,goredrinker,stridebreaker,divineSunderer,liandrysAnguish,ludensTempest,everFrost,bamisCinder,frostfireGauntlet,turbochemtank,noonquiver,galeForce,krakenSlayer,immortalShieldbow,navoriQuickblades,theCollector,rageknife,duskbladeDraktharr,eclipse,prowersClaw,seryldasGrudge,serpentsFang,sandshrikesClaw,syzygy,draktharrShadowcarver,turbochargedHexperiment,forgefireCrest,rimeforgedGrasp,typhoon,wyrmfallenSacrifice,bloodward,icathiasCurse,vespertide,upgradedAeropack,liandrysLament,eyeLuden,eternalWinter,ceaselessHunger,dreamShatter,deicide,infinityForce,reliquaryGoldenDawn,shurelyasRequiem,starCaster,seatCommand,anathemasChains
akali|diana,0.69697,33,0,0,0,0,0,0.038961,0,0.004329,0.004329,0,0,0,0,0,0,0,0,0,0.017316,0,0.0519481,0,0,0,0.00865801,0.0649351,0,0,0,0,0.017316,0,0,0,0.025974,0,0,0,0,0,0,0.00865801,0,0,0,0,0,0,0,0,0,0.125541,0,0,0,0,0,0,0,0.012987,0,0,0,0,0,0,0,0.004329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030303,0,0,0,0.004329,0.012987,0,0,0.004329,0,0,0.017316,0,0.004329,0,0,0,0,0,0,0,0,0.034632,0,0,0,0,0,0.030303,0,0,0,0.0692641,0,0.030303,0,0,0,0,0,0.00865801,0,0,0,0,0.0562771,0.012987,0.0735931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025974,0,0,0,0,0,0.004329,0.00865801,0.103896,0.00865801,0,0.004329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akali|ekko,0.590909,22,0.012987,0,0,0.012987,0,0.012987,0,0,0.00649351,0,0,0,0,0,0,0,0,0,0.012987,0,0.0194805,0,0.025974,0,0.025974,0.103896,0,0,0,0,0.025974,0,0,0,0.00649351,0,0,0,0,0,0,0.0194805,0,0,0,0,0,0,0,0,0,0.116883,0,0,0,0,0,0,0,0.00649351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649351,0,0,0,0,0.0194805,0,0,0.025974,0,0,0.012987,0,0,0,0,0,0,0,0,0,0,0.0194805,0,0,0,0,0,0.025974,0,0,0,0.0454545,0,0.025974,0,0,0,0,0,0.0194805,0,0,0,0,0.0584416,0.0194805,0.0584416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324675,0,0,0,0,0,0.012987,0,0.11039,0.00649351,0,0.012987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akali|gwen,0.518519,27,0.015873,0,0,0.00529101,0,0.021164,0,0.00529101,0.00529101,0,0,0,0,0,0,0,0,0,0.042328,0,0.0529101,0,0.015873,0,0.010582,0.0687831,0,0.00529101,0,0,0.021164,0,0,0,0.021164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116402,0,0,0,0,0,0,0,0.015873,0,0,0,0.00529101,0,0,0,0.00529101,0,0,0,0,0.00529101,0,0,0,0,0,0,0,0,0,0,0,0.015873,0,0,0,0,0.015873,0,0,0,0,0,0,0,0.00529101,0,0,0,0,0,0,0,0,0.010582,0,0,0,0,0,0.037037,0,0,0,0.0740741,0,0.00529101,0,0,0,0,0,0,0,0,0,0,0.0582011,0.00529101,0.0793651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021164,0,0,0,0,0,0,0,0.100529,0,0,0.021164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akali|kalista,0.517241,29,0,0,0,0,0,0.00985222,0,0.00985222,0.00492611,0,0,0,0,0,0,0,0,0,0.0246305,0,0.0295567,0,0.0246305,0,0.0492611,0.0640394,0,0,0,0,0.00985222,0,0,0,0.0197044,0,0,0,0,0,0,0.0147783,0,0,0,0,0,0,0,0,0,0.137931,0,0,0,0,0,0,0,0.0246305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492611,0,0,0,0.00492611,0,0,0,0,0,0,0.00492611,0,0,0,0,0,0,0,0,0,0,0.0147783,0,0,0,0,0,0.0541872,0,0,0,0.0738916,0,0.0147783,0,0,0,0,0,0.0147783,0,0,0,0,0.044335,0.0147783,0.0837438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541872,0,0,0,0,0,0,0,0.0837438,0,0,0.0147783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492611,0,0,0,0,0,0,0,0,0,0,0,0
akali|leona,0.565217,23,0.0124224,0,0,0,0,0.0248447,0,0.00621118,0.00621118,0,0,0,0,0,0,0,0,0,0.0186335,0,0.0559006,0,0.0124224,0.00621118,0,0.0807453,0,0,0,0,0.0248447,0,0,0,0.0248447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124224,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0.00621118,0,0,0.0124224,0,0,0.00621118,0,0.00621118,0,0,0,0,0,0,0,0,0.0310559,0,0,0,0,0,0.0186335,0,0,0,0.0372671,0,0.0248447,0,0,0,0,0,0.0372671,0,0,0,0,0.0372671,0.0248447,0.0745342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186335,0,0,0,0,0,0.00621118,0.00621118,0.118012,0.00621118,0,0.0124224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akali|lulu,0.575758,33,0.004329,0,0,0,0,0.021645,0,0.021645,0,0,0,0,0,0,0,0,0,0,0.017316,0,0.038961,0,0.012987,0.004329,0.030303,0.0692641,0,0,0,0,0.021645,0,0,0,0.017316,0,0,0,0,0,0,0.00865801,0,0,0,0,0,0,0,0,0,0.116883,0,0,0,0,0,0,0,0.030303,0,0,0,0.004329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017316,0,0,0,0.017316,0,0,0,0.004329,0,0,0.012987,0,0.004329,0,0,0,0,0,0,0,0,0.021645,0,0,0,0,0.004329,0.047619,0,0,0,0.0909091,0,0.017316,0,0,0,0,0,0.012987,0,0,0,0,0.047619,0.025974,0.0692641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017316,0,0,0,0,0,0.00865801,0.004329,0.0692641,0,0.00865801,0.004329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004329,0,0.004329,0,0,0,0,0,0,0,0,0,0,0,0
akali|sett,0.585366,41,0.010453,0,0,0.010453,0,0.0243902,0,0.010453,0,0,0.00348432,0,0,0,0,0,0,0,0.0418118,0,0.0313589,0,0.0209059,0,0.0383275,0.0940767,0,0,0,0,0.0243902,0,0,0,0.0243902,0,0,0,0,0,0,0.00348432,0,0,0,0,0,0,0,0,0,0.118467,0,0,0,0,0,0,0,0.010453,0,0,0,0.00348432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010453,0,0,0,0.00348432,0,0,0,0,0,0,0.010453,0,0.00348432,0,0,0,0,0,0,0,0,0.0243902,0,0,0,0,0.00348432,0.0174216,0,0,0,0.0627178,0,0.010453,0,0,0,0,0,0.0174216,0,0,0,0,0.0487805,0.0348432,0.0592334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278746,0,0,0,0,0,0.00348432,0.00696864,0.118467,0,0.00348432,0.0174216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akali|viego,0.602941,68,0.00840336,0,0,0,0,0.0147059,0,0.00420168,0,0,0,0,0,0,0,0,0,0,0.0231092,0,0.0462185,0.00210084,0.0105042,0,0.0315126,0.0651261,0,0,0,0,0.0231092,0,0,0,0.0147059,0,0,0,0,0,0,0.0168067,0,0,0,0,0,0,0,0,0,0.119748,0,0,0,0,0,0,0,0.0231092,0,0,0,0.00210084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00840336,0,0,0,0.00630252,0.00210084,0,0,0.0105042,0,0,0.00840336,0,0.00420168,0,0,0,0,0,0,0,0,0.0273109,0,0,0,0,0,0.039916,0,0,0,0.0735294,0,0.0252101,0,0,0,0,0,0.012605,0,0,0,0,0.0546218,0.0210084,0.0672269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315126,0,0,0,0,0,0.00420168,0,0.0966387,0.00210084,0.00210084,0.012605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alistar|viego,0.636364,22,0,0,0,0.0324675,0,0,0,0.012987,0.012987,0.012987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012987,0,0,0,0,0,0,0.00649351,0,0,0,0.0974026,0.00649351,0,0,0,0,0,0,0,0,0,0.00649351,0,0,0,0.00649351,0,0,0.00649351,0,0,0,0,0,0,0,0,0,0,0.0194805,0,0,0,0,0,0.012987,0.0194805,0,0,0,0,0,0.00649351,0.025974,0,0,0.00649351,0,0,0,0,0,0,0,0,0,0,0,0,0.012987,0,0,0,0,0,0,0,0.0844156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324675,0,0,0,0,0,0.0714286,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0.00649351,0,0.00649351,0,0,0,0,0,0,0,0,0.00649351,0.0324675,0.103896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649351,0,0,0,0,0,0,0.038961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649351
aphelios|akali,0.565217,23,0,0,0,0,0.00621118,0,0,0,0,0,0.00621118,0,0.0186335,0.0248447,0.0559006,0,0,0,0,0.00621118,0.00621118,0.0496894,0,0,0,0,0,0,0,0,0.0124224,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,0,0,0,0,0.0124224,0.0559006,0,0.00621118,0.0186335,0,0,0,0,0.0372671,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0.0931677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0.0124224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124224,0.130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621118,0.0434783,0.0621118,0.0310559,0,0.0248447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
